type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.425,0.020000000000000018,nan,337,444,-1,0,H(~p|p),144,0.4142227604493155,2.454995675925437e-07,0.4277187855938778,8.937321902151017e-08
early_mid_vs_improvement,0.425,0.020000000000000018,nan,337,444,-1,1,H(p|~p),144,0.6154809994027873,2.23665188327389e-16,0.4832919710473333,8.49041832170572e-10
early_mid_vs_improvement,0.425,0.01,nan,337,463,-1,0,H(~p|p),144,0.41186214901596496,2.916465352242465e-07,0.3177093805018357,0.00010432224781725353
early_mid_vs_improvement,0.425,0.01,nan,337,463,-1,1,H(p|~p),144,0.4982259951295498,2.0939735850355024e-10,0.39215288315703367,1.1681076309749684e-06
early_mid_vs_improvement,0.4,0.2,nan,340,368,-1,0,H(~p|p),144,-0.03565588731142075,0.6713641504021349,-0.05847527801995254,0.4863137729420115
early_mid_vs_improvement,0.4,0.2,nan,340,368,-1,1,H(p|~p),144,0.21137375198143032,0.010984824518510253,0.16541641967336518,0.04754996089037144
early_mid_vs_improvement,0.4,0.19,nan,340,370,-1,0,H(~p|p),144,-0.013714123883080138,0.87040595260889,-0.045911272308881555,0.5847759602348914
early_mid_vs_improvement,0.4,0.19,nan,340,370,-1,1,H(p|~p),144,0.24143830915438222,0.0035538733511735966,0.17411154762903228,0.03687927012437428
early_mid_vs_improvement,0.4,0.18000000000000002,nan,340,372,-1,0,H(~p|p),144,0.005016525582515231,0.9524152589261163,-0.030075641310282824,0.7204606545452013
early_mid_vs_improvement,0.4,0.18000000000000002,nan,340,372,-1,1,H(p|~p),144,0.2663986188468629,0.0012489867230838587,0.18522611955479953,0.026242051648381184
early_mid_vs_improvement,0.4,0.17,nan,340,374,-1,0,H(~p|p),144,0.022933496125620307,0.7849767167179814,-0.0097505687316245,0.907660614449782
early_mid_vs_improvement,0.4,0.17,nan,340,374,-1,1,H(p|~p),144,0.2898085771880694,0.0004261825818195536,0.19984124911836945,0.016329314421401002
